community_id,top_10_mesh_terms
n2-111,"Humans;Animals;Female;Mice;Male;Adult;Middle Aged;Pregnancy;Mice, Inbred C57BL;Aged"
n2-163,"Animals;Humans;Mice;Female;Male;Mice, Transgenic;Middle Aged;Adult;Disease Models, Animal;Mice, Inbred C57BL"
n2-93,Humans;Animals;Female;Male;Amino Acid Sequence;Young Adult;Adult;Phosphorylation;Mice;Bacterial Proteins / metabolism*
n2-338,"Humans;Female;Male;Middle Aged;Adult;Animals;Aged;Mice;Aged, 80 and over;Cell Line, Tumor"
n2-825,Humans;Female;Male;Adult;Middle Aged;Aged;Adolescent;Animals;Young Adult;Child
n2-272,"Animals;Humans;Male;Female;Mice;Phylogeny;Middle Aged;Adult;Ecosystem;Mice, Inbred C57BL"
n2-985,"Animals;Humans;Female;Mice;Male;Mutation;Middle Aged;Mice, Inbred C57BL;Adult;Phylogeny"
n2-414,"Humans;Animals;Female;Male;Mice;Cell Line, Tumor;Molecular Sequence Data;Middle Aged;Adult;Base Sequence"
n2-195,"Animals;Humans;Mice;Male;Female;Mutation;Disease Models, Animal;Phenotype;Mice, Inbred C57BL;Child"
n2-694,"Animals;Humans;Mice;Female;Male;Disease Models, Animal;Mice, Inbred C57BL;Fungal Proteins / genetics;Mice, Inbred BALB C;Adult"
n2-931,Humans;Female;Male;Middle Aged;Adult;Aged;Animals;Mice;Young Adult;Adolescent
n2-520,"Humans;Animals;Female;Mice;Male;Adult;Mice, Inbred C57BL;Middle Aged;Young Adult;Cells, Cultured"
n2-592,Humans;Animals;Female;Male;Mice;Adult;Mutation;Phenotype;Computer Simulation;Molecular Sequence Data
n2-361,"Humans;Animals;Female;Male;Mice;Middle Aged;Adult;Mice, Inbred C57BL;Cells, Cultured;Cell Line, Tumor"
n2-118,"Humans;Animals;Female;Male;Adult;Mice;Middle Aged;Aged;Young Adult;Aged, 80 and over"
n2-109,Animals;Humans;Ecosystem*;Geography;Ecosystem;Male;Population Dynamics;Female;Species Specificity;China
n2-110,Humans;Female;Male;Adult;Middle Aged;Aged;Young Adult;Adolescent;Animals;Child
n2-112,"Humans;Animals;Computer Simulation;Female;Male;Computational Biology;Mice;Models, Biological;Mutation;Algorithms"
n2-113,"Humans;Male;Female;Adult;Middle Aged;Animals;Aged;Aged, 80 and over;Mice;Young Adult"
n2-918,"Humans;Animals;Male;Female;Mice;Adult;Mice, Inbred C57BL;Disease Models, Animal;Middle Aged;Young Adult"
n2-167,Animals;Female;Male;Humans;Ecosystem;Ecosystem*;Population Dynamics;Geography;Seasons;Phylogeny
n2-116,Humans;Female;Male;Animals;Middle Aged;Adult;Aged;Mice;Young Adult;Adolescent
n2-125,"Humans;Male;Female;Animals;Middle Aged;Adult;Mice;Aged;Young Adult;Mice, Inbred C57BL"
n2-559,"Humans;Male;Animals;Female;Mice;Middle Aged;Aged;Adult;Aged, 80 and over;Mice, Inbred C57BL"
n2-1871,Humans;Male;Female;Animals;Adult;Young Adult;Middle Aged;Mice;Child;Rats
n2-555,"Humans;Female;Male;Middle Aged;Adult;Animals;Aged;Mice;Young Adult;Aged, 80 and over"
n2-455,"Humans;Male;Female;Animals;Middle Aged;Adult;Mice;Aged;Mice, Inbred C57BL;Cell Line, Tumor"
n2-126,Humans;Male;Female;Animals;Mice;Middle Aged;Adult;Aged;Young Adult;Adolescent
n2-1146,Humans;Male;Animals;Female;Mice;Adult;Adolescent;Middle Aged;Rats;Young Adult
n2-1322,"Humans;Animals;Male;Female;Mice;Middle Aged;Adult;Cell Line, Tumor;Aged;Cell Line"
n2-133,Humans;Animals;Male;Female;Adult;Middle Aged;Mice;Protein Binding;Aged;Cell Line
n2-141,Animals;Humans;Female;Male;Phylogeny;Adult;Middle Aged;Adolescent;Child;Dogs
n2-799,"Humans;Male;Female;Animals;Mice;Adult;Middle Aged;Cell Line, Tumor;Child;Adolescent"
n2-1137,"Humans;Female;Animals;Male;Mice;Adult;Middle Aged;Cell Line, Tumor;Aged;Child, Preschool"
n2-1490,Animals;Female;Humans;Male;Mice;Species Specificity;Bayes Theorem;Geography;Genetic Variation;Phylogeny
n2-237,Humans;Female;Male;Animals;Middle Aged;Adult;Aged;Young Adult;Mice;Adolescent
n2-1484,"Humans;Animals;Female;Male;Mice;Middle Aged;Adult;Aged;Cell Line;Mice, Inbred BALB C"
n2-144,"Humans;Animals;Female;Male;Mice;Cell Line, Tumor;Adult;Cell Line;Middle Aged;Cells, Cultured"
n2-70,Humans;Female;Male;Adult;Middle Aged;Young Adult;Adolescent;Cross-Sectional Studies;Animals;Ethiopia / epidemiology
n2-625,Animals;Female;Humans;Male;Ecosystem*;Ecosystem;Species Specificity;Geography;Phylogeny;Population Dynamics
n2-340,Humans;Male;Female;Adult;Middle Aged;Young Adult;Aged;Animals;Adolescent;Treatment Outcome
n2-151,"Humans;Animals;Male;Female;Mice;Adult;Middle Aged;Computer Simulation;Models, Neurological*;Young Adult"
n2-262,Humans;Male;Female;Adult;Young Adult;Adolescent;Middle Aged;Magnetic Resonance Imaging;Animals;Aged
n2-277,Humans;Female;Male;Middle Aged;Aged;Adult;Animals;Retrospective Studies;Risk Factors;Mice
n2-156,"Humans;Animals;Male;Female;Mice;Middle Aged;Adult;Aged;Cell Line, Tumor;Mice, Inbred C57BL"
n2-304,Animals;Humans;Male;Female;Mice;Adult;Middle Aged;Young Adult;Aged;Signal Transduction
n2-159,"Animals;Mice;Humans;Female;Male;Mice, Inbred C57BL;Mice, Knockout;Cell Line;Mice, Transgenic;Adult"
n2-160,"Humans;Animals;Mice;Female;Male;Cell Line, Tumor;HEK293 Cells;Cell Line;Amino Acid Sequence;Protein Binding"
n2-161,"Animals;Humans;Mice;Male;Female;Computational Biology;Signal Transduction;Algorithms;Models, Biological*;Computer Simulation"
n2-373,"Animals;Humans;Male;Female;Mice;Adult;Amino Acid Sequence;Middle Aged;Molecular Sequence Data;Mice, Inbred C57BL"
n2-71,Humans;Female;Male;Animals;Adult;Middle Aged;Young Adult;Aged;Adolescent;Surveys and Questionnaires
n2-612,"Animals;Humans;Male;Female;Mice;Phylogeny;Adult;Middle Aged;Mice, Inbred C57BL;Phenotype"
n2-169,"Humans;Animals;Female;Male;Mice;Middle Aged;Adult;Mice, Inbred C57BL;Disease Models, Animal;Cell Line"
n2-279,Humans;Animals;Female;Male;Mice;Adult;Middle Aged;Phylogeny;Aged;Young Adult
n2-179,"Humans;Male;Female;Middle Aged;Animals;Aged;Adult;Mice;Aged, 80 and over;Retrospective Studies"
n2-174,Humans;Male;Female;Middle Aged;Adult;Aged;Japan;Young Adult;Animals;Cross-Sectional Studies
n2-175,"Humans;Male;Female;Middle Aged;Aged;Animals;Adult;Mice;Aged, 80 and over;Retrospective Studies"
n2-351,"Animals;Humans;Male;Mice;Female;Mice, Inbred C57BL;Japan;Cell Line;Middle Aged;Adult"
n2-660,Humans;Female;Male;Adult;Middle Aged;Aged;Young Adult;Adolescent;Child;Cross-Sectional Studies
n2-381,Humans;Male;Female;Adult;Young Adult;Middle Aged;Adolescent;Aged;Animals;Language
n2-302,"Animals;Humans;Female;Male;Mice;Cells, Cultured;Cell Line;Cell Line, Tumor;Dogs;Adult"
n2-1201,"Humans;Animals;Female;Male;Mice;Adult;Middle Aged;Cell Line, Tumor;Cells, Cultured;Mice, Inbred C57BL"
n2-479,Humans;Male;Female;Animals;Mice;Middle Aged;Adult;Aged;Young Adult;Rats
n2-920,"Humans;Animals;Male;Female;Mice;Adult;Middle Aged;Cell Line;Mice, Inbred C57BL;Aged"
n2-1591,"Humans;Adult;Female;Male;Young Adult;Middle Aged;Aged, 80 and over;Adolescent;Aged;Electric Stimulation"
n2-191,Humans;Female;Male;Adult;Middle Aged;Aged;Adolescent;Young Adult;Retrospective Studies;Risk Factors
n2-192,Humans;Male;Female;Adult;Young Adult;Middle Aged;Adolescent;Aged;Reproducibility of Results;Cross-Sectional Studies
n2-888,"Humans;Animals;Mice;Female;Male;Mice, Inbred C57BL;Cell Line;Adult;Cells, Cultured;Mice, Knockout"
n2-196,Humans;Male;Female;Middle Aged;Animals;Adult;Aged;Mice;Risk Factors;Young Adult
n2-197,"Humans;Animals;Mice;Male;Female;Mice, Inbred C57BL;Cells, Cultured;Software;Toxoplasmosis / metabolism;Middle Aged"
n2-198,"Animals;Female;Male;Humans;Molecular Sequence Data;Fishes / genetics*;Genetic Variation;Phylogeny*;Transcriptome*;Polymorphism, Single Nucleotide*"
n2-202,"Humans;Female;Male;Middle Aged;Animals;Adult;Aged;Mice;Case-Control Studies;Disease Models, Animal"
n2-1692,"Humans;Male;Female;Animals;Mice;Aged;Middle Aged;Adult;Mice, Inbred C57BL;Cell Line"
n2-148,"Humans;Female;Animals;Male;Adult;Middle Aged;Child, Preschool;Child;Germany;Aged"
n2-98,Humans;Animals;Male;Female;Mice;Middle Aged;Adult;Aged;Amino Acid Sequence;Protein Binding
n2-206,"Humans;Male;Female;Adult;Middle Aged;Aged;Young Adult;Animals;Aged, 80 and over;Adolescent"
n2-800,Humans;Animals;Female;Male;Mice;Phylogeny;Adult;Middle Aged;Molecular Sequence Data;Case-Control Studies
n2-814,"Animals;Humans;Mice;Female;Male;Cells, Cultured;Cell Line;Protein Binding;Mice, Inbred C57BL;Mice, Inbred BALB C"
n2-653,"Humans;Animals;Female;Male;Mice;Phylogeny;Mice, Inbred C57BL;Cell Line;Models, Biological;Mutation"
n2-438,"Animals;Humans;Mice;Female;Models, Biological;Computer Simulation;Models, Biological*;Algorithms;Cell Line;Protein Binding"
n2-1653,Animals;Humans;Female;Ecosystem;Male;Phylogeny;Ecosystem*;Species Specificity;Geography;Zebrafish
n2-387,"Humans;Animals;Female;Male;Mice;Aged;Middle Aged;Adult;Disease Models, Animal;Mice, Inbred C57BL"
n2-575,"Humans;Animals;Female;Male;Mice;Middle Aged;Cell Line, Tumor;Aged;Cells, Cultured;Adult"
n2-967,Animals;Male;Cattle;Female;Body Weight;Brazil;Animal Feed*;Humans;Animal Feed / analysis*;Temperature
n2-378,Animals;Humans;Female;Male;Mice;Amino Acid Sequence;Molecular Sequence Data;Phylogeny;Middle Aged;Adult
n2-1232,Animals;Humans;Ecosystem;Ecosystem*;Biodiversity;Female;Male;Conservation of Natural Resources;Geography;Endangered Species*
n2-1367,"Humans;Female;Male;Animals;Mice;Cell Line, Tumor;Middle Aged;Adult;Aged;Cell Proliferation"
n2-224,Animals;Humans;Male;Female;Mutation;Mice;Cell Line;Amino Acid Sequence;Molecular Sequence Data;Aged
n2-225,"Animals;Humans;Female;Mice;Male;Bacterial Proteins / genetics;Models, Molecular;Phylogeny;Protein Binding;Middle Aged"
n2-236,"Humans;Male;Female;Animals;Middle Aged;Mice;Adult;Aged;Rats;Mice, Inbred C57BL"
n2-1190,Humans;Female;Male;Adult;Middle Aged;Animals;Young Adult;Adolescent;Aged;Mice
n2-1210,Animals;Humans;Male;Female;Mice;Adult;Middle Aged;Aged;Young Adult;Rats
n2-1080,Humans;Female;Male;Animals;Adult;Middle Aged;Phylogeny;Aged;Young Adult;Species Specificity
n2-431,"Humans;Animals;Female;Male;Mice;Cell Line, Tumor;Middle Aged;Adult;Aged;Disease Models, Animal"
n2-1718,Humans;Female;Male;Aged;Middle Aged;Adult;Animals;Mice;Retrospective Studies;Young Adult
n2-533,"Humans;Male;Female;Middle Aged;Adult;Aged;Animals;Young Adult;Aged, 80 and over;Mice"
n2-668,"Humans;Animals;Mice;Male;Female;Adult;Mice, Inbred C57BL;Base Sequence;Algorithms;Signal Transduction"
n2-584,"Humans;Female;Male;Animals;Middle Aged;Adult;Aged;Mice;Young Adult;Cell Line, Tumor"
n2-1704,Humans;Animals;Male;Female;Mice;Adult;Middle Aged;Rats;Young Adult;Aged
n2-921,"Animals;Humans;Female;Male;Mice;Mutation;Gene Expression Regulation;Animals, Genetically Modified;Drosophila Proteins / genetics;Phenotype"
n2-750,Animals;Humans;Female;Male;Phylogeny;Species Specificity;Mice;Middle Aged;Adult;Aged
n2-499,"Humans;Male;Female;Animals;Adult;Mice;Middle Aged;Aged;Mice, Inbred C57BL;Young Adult"
n2-1725,Humans;Animals;Female;Male;Phylogeny;Mice;Molecular Sequence Data;Adult;Amino Acid Sequence;Genotype
n2-259,Humans;Female;Male;Adult;Animals;Young Adult;Adolescent;Middle Aged;Magnetic Resonance Imaging;Magnetic Resonance Imaging / methods*
n2-1755,"Animals;Male;Humans;Female;Mice;Cell Line, Tumor;Phylogeny;Mice, Inbred C57BL;Signal Transduction;Dogs"
n2-261,Humans;Male;Female;Adult;Young Adult;Adolescent;Middle Aged;Surveys and Questionnaires;Child;Social Behavior*
n2-493,Humans;Male;Female;Adult;Young Adult;Middle Aged;Adolescent;Aged;Photic Stimulation;Animals
n2-264,Animals;Humans;Male;Female;Phylogeny;Fossils*;Adult;Fossils;Middle Aged;Geography
n2-419,Humans;Animals;Male;Mice;Female;Molecular Sequence Data;Mutation;Amino Acid Sequence;Protein Binding;Bacterial Proteins / genetics
n2-1003,"Animals;Humans;Male;Mice;Female;Cattle;Mice, Inbred C57BL;Phylogeny;Feces / microbiology;Disease Models, Animal"
n2-271,"Animals;Humans;Female;Male;Mice;Adult;Middle Aged;Young Adult;Amino Acid Sequence;Disease Models, Animal"
n2-274,Humans;Animals;Female;Mice;Male;Adult;Middle Aged;Mutation;Base Sequence;Cell Line
n2-275,Animals;Humans;Mice;Female;Male;Gene Expression Regulation;Cell Line;Signal Transduction;Adolescent;Adult
n2-276,Animals;Humans;Female;Male;Phylogeny;Mice;Molecular Sequence Data;Base Sequence;Amino Acid Sequence;Genome
n2-922,Humans;Male;Female;Animals;Adult;Middle Aged;Mice;Aged;Young Adult;Adolescent
n2-442,Humans;Male;Female;Adult;Middle Aged;Animals;Aged;Young Adult;Brazil / epidemiology;Cross-Sectional Studies
n2-282,"Humans;Animals;Male;Female;Mice;HEK293 Cells;Models, Molecular;Protein Binding;Plant Diseases / microbiology*;Mice, Inbred C57BL"
n2-300,Humans;Female;Male;Animals;Adult;Mice;Pregnancy;Middle Aged;Young Adult;Adolescent
n2-346,Humans;Female;Male;Middle Aged;Adult;Aged;Adolescent;Animals;Young Adult;Risk Factors
n2-1078,"Humans;Male;Female;Adult;Middle Aged;Aged;Young Adult;Animals;Adolescent;Aged, 80 and over"
n2-416,"Humans;Animals;Female;Mice;Male;Mice, Inbred C57BL;Bacterial Proteins / genetics;Adult;Bacterial Proteins / metabolism;Mutation"
n2-1069,"Animals;Humans;Gene Expression Regulation, Plant;Plant Diseases / microbiology;Arabidopsis / genetics;Phylogeny;Arabidopsis Proteins / genetics;Plant Diseases / microbiology*;Mutation;Molecular Sequence Data"
n2-278,Humans;Male;Female;Animals;Adult;Middle Aged;Aged;Mice;Young Adult;Adolescent
n2-782,"Animals;Humans;Male;Female;Mice;Phenotype;Mice, Inbred C57BL;Signal Transduction;Adolescent;Adult"
n2-426,Humans;Animals;Female;Male;Adult;China / epidemiology;Mice;Young Adult;Phylogeny;Infant
n2-424,"Humans;Animals;Female;Male;Mice;Adult;Middle Aged;Molecular Sequence Data;Amino Acid Sequence;Mice, Inbred C57BL"
n2-476,"Humans;Female;Male;Middle Aged;Adult;Aged;Animals;Aged, 80 and over;Risk Factors;Young Adult"
n2-1526,Humans;Animals;Male;Female;Mice;Middle Aged;HEK293 Cells;Adult;Rats;Aged
n2-534,Humans;Animals;Male;Female;Mice;Middle Aged;Adult;Aged;Young Adult;Cell Line
n2-327,Humans;Animals;Female;Male;Mice;Amino Acid Sequence;Phylogeny;Microbial Sensitivity Tests;Molecular Sequence Data;Adult
n2-328,Male;Humans;Female;Animals;Adult;Mice;Young Adult;Rats;Aged;Adolescent
n2-334,"Humans;Animals;Female;Male;Mice;Middle Aged;Adult;Protein Binding;Cells, Cultured;Aged"
n2-1463,Humans;Animals;Male;Female;Mice;Adult;Middle Aged;Aged;Young Adult;Case-Control Studies
n2-337,"Humans;Animals;Male;Female;Mice;Adult;Middle Aged;Aged;Mice, Knockout;Mice, Inbred C57BL"
n2-837,"Humans;Male;Female;Middle Aged;Adult;Aged;Aged, 80 and over;Young Adult;Animals;Retrospective Studies"
n2-342,"Humans;Animals;Male;Female;Mice;Adult;Middle Aged;Aged;Rats;Mice, Inbred C57BL"
n2-1870,"Animals;Humans;Male;Female;Phylogeny;Adult;Young Adult;Adolescent;RNA, Messenger / metabolism;Mice"
n2-345,"Humans;Female;Male;Middle Aged;Adult;Aged;Animals;Young Adult;Adolescent;Aged, 80 and over"
n2-1072,"Humans;Animals;Male;Female;History, Ancient;Archaeology;Archaeology*;Fossils*;Middle Aged;Adult"
n2-501,"Humans;Male;Female;Middle Aged;Adult;Aged;Animals;Young Adult;Aged, 80 and over;Mice"
n2-887,"Humans;Male;Animals;Female;Mice;Adult;Young Adult;Middle Aged;Aged;Disease Models, Animal"
n2-352,"Humans;Animals;Female;Male;Phylogeny;Adult;DNA, Mitochondrial / genetics*;Middle Aged;Sequence Analysis, DNA;Molecular Sequence Data"
n2-353,Humans;Female;Animals;Male;Adult;Mice;Pregnancy;Young Adult;Middle Aged;Amino Acid Sequence
n2-355,Humans;Animals;Female;Male;Mice;Adult;Phylogeny;Base Sequence;Cell Line;Rats
n2-1316,Animals;Humans;Female;Male;Phylogeny;Mice;Genotype;Base Sequence;Cell Line;Bacterial Proteins / metabolism*
n2-801,Humans;Female;Animals;Male;Middle Aged;Adult;Aged;Mice;Young Adult;Adolescent
n2-439,Humans;Animals;Female;Male;Mice;Middle Aged;Adult;Young Adult;Aged;Cattle
n2-359,"Female;Male;Animals;Humans;Middle Aged;Adult;Aged;Triticum / growth & development;Databases, Factual;Climate Change*"
n2-362,"Animals;Humans;Male;Female;Middle Aged;Aged;Mice;Adult;Aged, 80 and over;Mice, Inbred C57BL"
n2-364,"Humans;Female;Animals;Male;Mice;Middle Aged;Adult;Cell Line, Tumor;Aged;Adolescent"
n2-366,"Humans;Animals;Female;Mice;Male;Pregnancy;Cells, Cultured;Reverse Transcriptase Polymerase Chain Reaction;Mice, Transgenic;Phenotype"
n2-367,"Humans;Male;Female;Adult;Middle Aged;Young Adult;Aged;Adolescent;Time Factors;Aged, 80 and over"
n2-1338,Animals;Phylogeny;Humans;Plant Diseases / microbiology*;Bacterial Proteins / genetics;Plant Diseases / microbiology;Amino Acid Sequence;Base Sequence;Male;Female
n2-379,"Humans;Female;Male;Animals;Mice;Mice, Inbred C57BL;Middle Aged;Base Sequence;Adult;Pedigree"
n2-380,Animals;Humans;Female;Mice;Male;Middle Aged;Adult;Aged;Cell Line;Phosphorylation
n2-394,"Humans;Female;Male;Adult;Middle Aged;Young Adult;Aged;Adolescent;Aged, 80 and over;Treatment Outcome"
n2-497,Humans;Male;Female;Animals;Adult;Young Adult;Middle Aged;Mice;Adolescent;Aged
n2-385,"Humans;Female;Male;Adult;Young Adult;Adolescent;Middle Aged;Aged;Risk Factors;Aged, 80 and over"
n2-388,Humans;Female;Male;Adult;Middle Aged;Animals;Young Adult;Aged;Mice;Adolescent
n2-914,"Humans;Female;Male;Animals;Middle Aged;Aged;Adult;Mice;Cell Line, Tumor;Young Adult"
n2-392,Animals;Humans;Male;Female;Ecosystem;Ecosystem*;Population Dynamics;Phylogeny;Species Specificity;Geography
n2-395,Humans;Female;Male;Middle Aged;Adult;Animals;Child;Young Adult;Adolescent;Aged
n2-2166,"Humans;Animals;Male;Female;Mice;Models, Biological*;Computer Simulation;Signal Transduction;Kinetics;Cells, Cultured"
n2-583,Animals;Humans;Female;Mice;Male;Phylogeny;Time Factors;Mutation;Amino Acid Sequence;Ecosystem
n2-97,"Humans;Female;Male;Animals;Middle Aged;Aged;Mice;Adult;Cell Line, Tumor;Prognosis"
